timestamp,machine_id,energy_kwh,water_liters,vibration,temperature,status,failure_flag
2026-02-18T08:00:00,M1,12.5,3.2,2.1,68.5,running,false
2026-02-18T08:00:05,M2,10.8,2.8,1.9,65.2,running,false
2026-02-18T08:00:10,M3,14.1,4.0,2.5,72.1,running,false
2026-02-18T08:00:15,M4,11.3,3.0,2.0,67.8,running,false
2026-02-18T08:00:20,M5,9.7,2.5,1.8,63.0,running,false
2026-02-18T08:00:25,M1,12.8,3.3,2.2,69.0,running,false
2026-02-18T08:00:30,M2,11.0,2.9,1.8,65.5,running,false
2026-02-18T08:00:35,M3,14.5,4.2,2.6,72.8,running,false
2026-02-18T08:00:40,M4,11.5,3.1,2.1,68.2,running,false
2026-02-18T08:00:45,M5,9.9,2.6,1.7,63.4,running,false
2026-02-18T08:00:50,M1,13.0,3.4,2.3,69.5,running,false
2026-02-18T08:00:55,M2,11.2,3.0,2.0,66.0,running,false
2026-02-18T08:01:00,M3,15.0,4.5,3.0,73.5,running,false
2026-02-18T08:01:05,M4,11.8,3.2,2.2,68.7,running,false
2026-02-18T08:01:10,M5,10.1,2.7,1.9,63.8,running,false
2026-02-18T08:01:15,M1,18.5,3.6,5.5,78.0,running,false
2026-02-18T08:01:20,M1,22.0,3.8,7.2,82.0,running,false
2026-02-18T08:01:25,M1,25.5,4.0,9.5,88.0,running,false
2026-02-18T08:01:30,M1,2.0,0.3,1.0,55.0,failure,true
2026-02-18T08:01:35,M1,1.5,0.2,0.8,52.0,failure,true
2026-02-18T08:01:40,M1,1.2,0.1,0.6,50.0,failure,true
2026-02-18T08:01:45,M1,4.0,1.0,1.5,55.0,starting,false
2026-02-18T08:01:50,M1,7.0,1.8,1.8,60.0,starting,false
2026-02-18T08:01:55,M1,10.0,2.5,2.0,65.0,running,false
2026-02-18T08:02:00,M2,5.0,1.2,1.0,58.0,idle,false
2026-02-18T08:02:05,M3,14.8,4.3,2.7,73.0,running,false
2026-02-18T08:02:10,M4,11.6,3.1,2.1,68.4,running,false
2026-02-18T08:02:15,M5,10.0,2.6,1.8,63.5,running,false
2026-02-18T08:02:20,M2,10.5,2.7,1.8,65.0,running,false
2026-02-18T08:02:25,M1,12.0,3.1,2.0,68.0,running,false
